competition_count_by_season,season_id,competition_id,international_competitions,data
{'2012/2013': Decimal('1')},24,11,[],"{'competition_count_by_season': {'2012/2013': Decimal('1')}, 'season_name': '2012/2013', 'match_updated': '2024-03-10T11:24:05.201066', 'season_id': Decimal('24'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2024-03-10T11:24:05.201066'}"
{'2013/2014': Decimal('1')},25,11,[],"{'competition_count_by_season': {'2013/2014': Decimal('1')}, 'season_name': '2013/2014', 'match_updated': '2022-07-23T12:18:49.547396', 'season_id': Decimal('25'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2022-07-23T12:18:49.547396'}"
{'2014/2015': Decimal('1')},26,11,[],"{'competition_count_by_season': {'2014/2015': Decimal('1')}, 'season_name': '2014/2015', 'match_updated': '2023-09-20T17:22:28.925900', 'season_id': Decimal('26'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-09-20T17:22:28.925900'}"
{'2015/2016': Decimal('1')},27,11,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-05-16T14:06:52.149840', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2024-05-16T14:06:52.149840'}"
{'2004/2005': Decimal('1')},37,11,[],"{'competition_count_by_season': {'2004/2005': Decimal('1')}, 'season_name': '2004/2005', 'match_updated': '2023-11-29T10:56:10.031508', 'season_id': Decimal('37'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-11-29T10:56:10.031508'}"
{'2005/2006': Decimal('1')},38,11,[],"{'competition_count_by_season': {'2005/2006': Decimal('1')}, 'season_name': '2005/2006', 'match_updated': '2022-07-03T12:34:31.749038', 'season_id': Decimal('38'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2022-07-03T12:34:31.749038'}"
{'2006/2007': Decimal('1')},39,11,[],"{'competition_count_by_season': {'2006/2007': Decimal('1')}, 'season_name': '2006/2007', 'match_updated': '2023-03-26T23:19:39.125951', 'season_id': Decimal('39'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-03-26T23:19:39.125951'}"
{'2007/2008': Decimal('1')},40,11,[],"{'competition_count_by_season': {'2007/2008': Decimal('1')}, 'season_name': '2007/2008', 'match_updated': '2023-04-19T10:42:35.284291', 'season_id': Decimal('40'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-04-19T10:42:35.284291'}"
{'2008/2009': Decimal('1')},41,11,[],"{'competition_count_by_season': {'2008/2009': Decimal('1')}, 'season_name': '2008/2009', 'match_updated': '2023-04-19T10:46:29.203565', 'season_id': Decimal('41'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-04-19T10:46:29.203565'}"
{'2019/2020': Decimal('1')},42,11,[],"{'competition_count_by_season': {'2019/2020': Decimal('1')}, 'season_name': '2019/2020', 'match_updated': '2024-07-12T16:27:54.561817', 'season_id': Decimal('42'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2024-07-12T16:27:54.561817'}"
{'2020/2021': Decimal('1')},90,11,[],"{'competition_count_by_season': {'2020/2021': Decimal('1')}, 'season_name': '2020/2021', 'match_updated': '2024-07-15T15:15:28.367546', 'season_id': Decimal('90'), 'competition_gender': 'male', 'match_available_360': '2024-07-15T15:17:45.455234', 'match_updated_360': '2024-07-15T15:17:45.455234', 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2024-07-15T15:15:28.367546'}"
{'1973/1974': Decimal('1')},278,11,[],"{'competition_count_by_season': {'1973/1974': Decimal('1')}, 'season_name': '1973/1974', 'match_updated': '2023-07-06T12:50:48.807820', 'season_id': Decimal('278'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'La Liga', 'competition_id': Decimal('11'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Spain', 'match_available': '2023-07-06T12:50:48.807820'}"
