match_id,index,under_pressure,location,player,timestamp,possession,period,team_id,player_id,play_pattern,related_events,minute,second,possession_team,possession_team_id,team,id,duration,dribble,position,type,out,off_camera
3829466,18,True,"[Decimal('43.3'), Decimal('75.1')]",Lossémy Karaboué,00:00:10.300,3,1,133,7301,Regular Play,"['8baa8f59-f42d-4f1b-81fb-8fbab1f5d346', 'aa393bd2-6b99-47f8-907e-25dea89e88f9']",0,10,Troyes,133,Troyes,475da829-721c-49e2-81e7-f8737af02223,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Right Midfield,Dribble,No existe,0.0
69279,50,True,"[Decimal('70.2'), Decimal('34.5')]",Samuel Eto''o Fils,00:00:48.856,2,1,217,19298,From Kick Off,['93115b74-f041-4be7-bb3c-7bc863afe36b'],0,48,Barcelona,217,Barcelona,5cda891d-8438-4c91-94a1-0b4c5ec3b057,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Forward,Dribble,No existe,0.0
3879557,399,True,"[Decimal('31.7'), Decimal('27.5')]",Emil Hallfreðsson,00:10:15.267,22,1,226,5512,Regular Play,['bfc7d22d-7d2d-4f55-a9d1-0d20e649e704'],10,15,Hellas Verona,226,Hellas Verona,61d09149-3116-48e4-b553-884f2a9351ac,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Defensive Midfield,Dribble,No existe,0.0
3879588,56,True,"[Decimal('93.3'), Decimal('74.6')]",Maximiliano Nicol Moralez,00:00:40.972,2,1,228,12759,From Kick Off,['384c7054-40ab-4d65-a0f5-e973347f83ad'],0,40,Atalanta,228,Atalanta,3d1e50ad-7ca2-4159-9e11-d5d7d255d71c,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}, 'overrun': True}",Right Wing,Dribble,No existe,0.0
267499,316,True,"[Decimal('86.3'), Decimal('2.1')]",Jordi Alba Ramos,00:06:18.796,11,1,217,5211,Regular Play,['5532bb48-8f14-4684-8085-14a1af51ea16'],6,18,Barcelona,217,Barcelona,2453d5dd-a56a-4aa6-997c-a717c1bebb4c,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Left Back,Dribble,No existe,0.0
3893790,162,True,"[Decimal('73'), Decimal('7.1')]",Ashley Elizabeth Marie Lawrence,00:03:40.639,8,1,1206,15290,From Free Kick,['5cf8a7e7-124e-4013-993f-149e3186dedf'],3,40,Canada Women's,1206,Canada Women's,5c963576-8cf9-47a7-b57c-8e6cea9ee8c1,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Back,Dribble,No existe,0.0
3879783,76,True,"[Decimal('72.1'), Decimal('5.1')]",Diego Perotti,00:01:57.596,8,1,229,7456,From Throw In,"['7fc1ecbc-69bf-4420-84f9-263a521b196c', 'c416ae6e-a2f5-443f-be89-351d492a3bc9']",1,57,AS Roma,229,AS Roma,c4917f8e-c4b7-4a91-b091-2acd7226baf2,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Attacking Midfield,Dribble,No existe,0.0
3764661,168,True,"[Decimal('107.3'), Decimal('30.5')]",Iñaki Williams Arthuer,00:02:45.484,7,1,215,6393,From Counter,['e398680b-6fa7-4345-9945-3b0b5534932c'],2,45,Athletic Club,215,Athletic Club,979f0a4c-949b-400d-917d-eca204a59159,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Center Forward,Dribble,No existe,0.0
3825643,147,True,"[Decimal('94'), Decimal('67.5')]",Danilo Luiz da Silva,00:02:22.959,5,1,220,3063,From Throw In,['f815bb78-8f7b-456c-99fc-7dcad43e63fe'],2,22,Real Madrid,220,Real Madrid,30e30913-3b25-4f13-9345-991d87566cfc,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Right Back,Dribble,No existe,0.0
19772,18,True,"[Decimal('75'), Decimal('18')]",Brooke Chaplen,00:00:11.138,3,1,974,15723,Regular Play,['36526662-01d7-48e7-93c4-c28d39a42125'],0,11,Reading WFC,974,Reading WFC,19f48129-8aa3-4d54-bafc-6720dee4c8b8,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Center Forward,Dribble,No existe,0.0
